Data Structure,Workload,Comparisons,Structural Ops,Inserts,Deletes,Lookups,Resize Events
list,../workloads/workload_B_100.json,18654,93,100,0,200,0
list,../workloads/workload_D_10000.json,190724118,9533,10000,0,20000,0
list,../workloads/workload_C_40000.json,3041026302,38003,40000,0,80000,0
list,../workloads/workload_A_1000.json,1911944,958,1000,0,2000,0
list,../workloads/workload_C_20000.json,763250918,19084,20000,0,40000,0
list,../workloads/workload_D_20000.json,763250918,19084,20000,0,40000,0
list,../workloads/workload_C_1000.json,1911944,958,1000,0,2000,0
list,../workloads/workload_D_1000.json,1911944,958,1000,0,2000,0
list,../workloads/workload_A_10000.json,190724118,9533,10000,0,20000,0
list,../workloads/workload_D_5000.json,47572712,4754,5000,0,10000,0
list,../workloads/workload_A_5000.json,47572712,4754,5000,0,10000,0
list,../workloads/workload_A_40000.json,3041026302,38003,40000,0,80000,0
list,../workloads/workload_A_20000.json,763250918,19084,20000,0,40000,0
list,../workloads/workload_C_10000.json,190724118,9533,10000,0,20000,0
list,../workloads/workload_D_100.json,18654,93,100,0,200,0
list,../workloads/workload_B_10000.json,190724118,9533,10000,0,20000,0
list,../workloads/workload_D_40000.json,3041026302,38003,40000,0,80000,0
list,../workloads/workload_B_1000.json,1911944,958,1000,0,2000,0
list,../workloads/workload_A_100.json,18654,93,100,0,200,0
list,../workloads/workload_B_40000.json,3041026302,38003,40000,0,80000,0
list,../workloads/workload_C_100.json,18654,93,100,0,200,0
list,../workloads/workload_B_5000.json,47572712,4754,5000,0,10000,0
list,../workloads/workload_B_20000.json,763250918,19084,20000,0,40000,0
list,../workloads/workload_C_5000.json,47572712,4754,5000,0,10000,0
array,../workloads/workload_B_100.json,4886,8,100,0,100,4
array,../workloads/workload_D_10000.json,23310424,22,10000,0,10000,11
array,../workloads/workload_C_40000.json,362680111,26,40000,0,40000,13
array,../workloads/workload_A_1000.json,264476,14,1000,0,1000,7
array,../workloads/workload_C_20000.json,92530831,24,20000,0,20000,12
array,../workloads/workload_D_20000.json,92530831,24,20000,0,20000,12
array,../workloads/workload_C_1000.json,264476,14,1000,0,1000,7
array,../workloads/workload_D_1000.json,264476,14,1000,0,1000,7
array,../workloads/workload_A_10000.json,23310424,22,10000,0,10000,11
array,../workloads/workload_D_5000.json,5900003,20,5000,0,5000,10
array,../workloads/workload_A_5000.json,5900003,20,5000,0,5000,10
array,../workloads/workload_A_40000.json,362680111,26,40000,0,40000,13
array,../workloads/workload_A_20000.json,92530831,24,20000,0,20000,12
array,../workloads/workload_C_10000.json,23310424,22,10000,0,10000,11
array,../workloads/workload_D_100.json,4886,8,100,0,100,4
array,../workloads/workload_B_10000.json,23310424,22,10000,0,10000,11
array,../workloads/workload_D_40000.json,362680111,26,40000,0,40000,13
array,../workloads/workload_B_1000.json,264476,14,1000,0,1000,7
array,../workloads/workload_A_100.json,4886,8,100,0,100,4
array,../workloads/workload_B_40000.json,362680111,26,40000,0,40000,13
array,../workloads/workload_C_100.json,4886,8,100,0,100,4
array,../workloads/workload_B_5000.json,5900003,20,5000,0,5000,10
array,../workloads/workload_B_20000.json,92530831,24,20000,0,20000,12
array,../workloads/workload_C_5000.json,5900003,20,5000,0,5000,10
hash,../workloads/workload_B_100.json,398,400,100,0,100,0
hash,../workloads/workload_D_10000.json,1876590,40000,10000,0,10000,0
hash,../workloads/workload_C_40000.json,29690698,160000,40000,0,40000,0
hash,../workloads/workload_A_1000.json,21076,4000,1000,0,1000,0
hash,../workloads/workload_C_20000.json,7478164,80000,20000,0,20000,0
hash,../workloads/workload_D_20000.json,7478164,80000,20000,0,20000,0
hash,../workloads/workload_C_1000.json,21076,4000,1000,0,1000,0
hash,../workloads/workload_D_1000.json,21076,4000,1000,0,1000,0
hash,../workloads/workload_A_10000.json,1876590,40000,10000,0,10000,0
hash,../workloads/workload_D_5000.json,472644,20000,5000,0,5000,0
hash,../workloads/workload_A_5000.json,472644,20000,5000,0,5000,0
hash,../workloads/workload_A_40000.json,29690698,160000,40000,0,40000,0
hash,../workloads/workload_A_20000.json,7478164,80000,20000,0,20000,0
hash,../workloads/workload_C_10000.json,1876590,40000,10000,0,10000,0
hash,../workloads/workload_D_100.json,398,400,100,0,100,0
hash,../workloads/workload_B_10000.json,1876590,40000,10000,0,10000,0
hash,../workloads/workload_D_40000.json,29690698,160000,40000,0,40000,0
hash,../workloads/workload_B_1000.json,21076,4000,1000,0,1000,0
hash,../workloads/workload_A_100.json,398,400,100,0,100,0
hash,../workloads/workload_B_40000.json,29690698,160000,40000,0,40000,0
hash,../workloads/workload_C_100.json,398,400,100,0,100,0
hash,../workloads/workload_B_5000.json,472644,20000,5000,0,5000,0
hash,../workloads/workload_B_20000.json,7478164,80000,20000,0,20000,0
hash,../workloads/workload_C_5000.json,472644,20000,5000,0,5000,0
bst,../workloads/workload_B_100.json,3417,93,100,0,100,0
bst,../workloads/workload_D_10000.json,848392,9533,10000,0,10000,0
bst,../workloads/workload_C_40000.json,3990752,38003,40000,0,40000,0
bst,../workloads/workload_A_1000.json,59425,958,1000,0,1000,0
bst,../workloads/workload_C_20000.json,1849880,19084,20000,0,20000,0
bst,../workloads/workload_D_20000.json,1849880,19084,20000,0,20000,0
bst,../workloads/workload_C_1000.json,59425,958,1000,0,1000,0
bst,../workloads/workload_D_1000.json,59425,958,1000,0,1000,0
bst,../workloads/workload_A_10000.json,848392,9533,10000,0,10000,0
bst,../workloads/workload_D_5000.json,386653,4754,5000,0,5000,0
bst,../workloads/workload_A_5000.json,386653,4754,5000,0,5000,0
bst,../workloads/workload_A_40000.json,3990752,38003,40000,0,40000,0
bst,../workloads/workload_A_20000.json,1849880,19084,20000,0,20000,0
bst,../workloads/workload_C_10000.json,848392,9533,10000,0,10000,0
bst,../workloads/workload_D_100.json,3417,93,100,0,100,0
bst,../workloads/workload_B_10000.json,848392,9533,10000,0,10000,0
bst,../workloads/workload_D_40000.json,3990752,38003,40000,0,40000,0
bst,../workloads/workload_B_1000.json,59425,958,1000,0,1000,0
bst,../workloads/workload_A_100.json,3417,93,100,0,100,0
bst,../workloads/workload_B_40000.json,3990752,38003,40000,0,40000,0
bst,../workloads/workload_C_100.json,3417,93,100,0,100,0
bst,../workloads/workload_B_5000.json,386653,4754,5000,0,5000,0
bst,../workloads/workload_B_20000.json,1849880,19084,20000,0,20000,0
bst,../workloads/workload_C_5000.json,386653,4754,5000,0,5000,0
avl,../workloads/workload_B_100.json,2200,576,100,0,0,0
avl,../workloads/workload_D_10000.json,494940,127304,10000,0,0,0
avl,../workloads/workload_C_40000.json,2300947,588935,40000,0,0,0
avl,../workloads/workload_A_1000.json,35844,9316,1000,0,0,0
avl,../workloads/workload_C_20000.json,1070153,274476,20000,0,0,0
avl,../workloads/workload_D_20000.json,1070153,274476,20000,0,0,0
avl,../workloads/workload_C_1000.json,35844,9316,1000,0,0,0
avl,../workloads/workload_D_1000.json,35844,9316,1000,0,0,0
avl,../workloads/workload_A_10000.json,494940,127304,10000,0,0,0
avl,../workloads/workload_D_5000.json,226612,58400,5000,0,0,0
avl,../workloads/workload_A_5000.json,226612,58400,5000,0,0,0
avl,../workloads/workload_A_40000.json,2300947,588935,40000,0,0,0
avl,../workloads/workload_A_20000.json,1070153,274476,20000,0,0,0
avl,../workloads/workload_C_10000.json,494940,127304,10000,0,0,0
avl,../workloads/workload_D_100.json,2200,576,100,0,0,0
avl,../workloads/workload_B_10000.json,494940,127304,10000,0,0,0
avl,../workloads/workload_D_40000.json,2300947,588935,40000,0,0,0
avl,../workloads/workload_B_1000.json,35844,9316,1000,0,0,0
avl,../workloads/workload_A_100.json,2200,576,100,0,0,0
avl,../workloads/workload_B_40000.json,2300947,588935,40000,0,0,0
avl,../workloads/workload_C_100.json,2200,576,100,0,0,0
avl,../workloads/workload_B_5000.json,226612,58400,5000,0,0,0
avl,../workloads/workload_B_20000.json,1070153,274476,20000,0,0,0
avl,../workloads/workload_C_5000.json,226612,58400,5000,0,0,0
heap,../workloads/workload_B_100.json,100,100,100,0,100,0
heap,../workloads/workload_D_10000.json,10000,10000,10000,0,10000,0
heap,../workloads/workload_C_40000.json,40000,40000,40000,0,40000,0
heap,../workloads/workload_A_1000.json,1000,1000,1000,0,1000,0
heap,../workloads/workload_C_20000.json,20000,20000,20000,0,20000,0
heap,../workloads/workload_D_20000.json,20000,20000,20000,0,20000,0
heap,../workloads/workload_C_1000.json,1000,1000,1000,0,1000,0
heap,../workloads/workload_D_1000.json,1000,1000,1000,0,1000,0
heap,../workloads/workload_A_10000.json,10000,10000,10000,0,10000,0
heap,../workloads/workload_D_5000.json,5000,5000,5000,0,5000,0
heap,../workloads/workload_A_5000.json,5000,5000,5000,0,5000,0
heap,../workloads/workload_A_40000.json,40000,40000,40000,0,40000,0
heap,../workloads/workload_A_20000.json,20000,20000,20000,0,20000,0
heap,../workloads/workload_C_10000.json,10000,10000,10000,0,10000,0
heap,../workloads/workload_D_100.json,100,100,100,0,100,0
heap,../workloads/workload_B_10000.json,10000,10000,10000,0,10000,0
heap,../workloads/workload_D_40000.json,40000,40000,40000,0,40000,0
heap,../workloads/workload_B_1000.json,1000,1000,1000,0,1000,0
heap,../workloads/workload_A_100.json,100,100,100,0,100,0
heap,../workloads/workload_B_40000.json,40000,40000,40000,0,40000,0
heap,../workloads/workload_C_100.json,100,100,100,0,100,0
heap,../workloads/workload_B_5000.json,5000,5000,5000,0,5000,0
heap,../workloads/workload_B_20000.json,20000,20000,20000,0,20000,0
heap,../workloads/workload_C_5000.json,5000,5000,5000,0,5000,0
